minF43,minF42,minF34,minF32,minF31,minF29,minF24,minF21,minF13,minF6,maxF43,maxF42,maxF34,maxF32,maxF31,maxF29,maxF24,maxF21,maxF13,maxF6
503,526,454,387,454,428,398,439,492,456,604,612,571,572,617,622,600,630,637,609
496,527,455,384,454,425,392,434,479,449,599,608,568,574,618,625,595,633,637,607
513,523,450,414,464,448,413,446,503,457,598,610,566,569,614,619,590,628,631,606
520,537,455,417,464,440,406,439,497,459,608,615,574,576,621,623,600,630,638,609
510,525,446,409,455,436,399,441,488,449,608,614,576,578,623,626,603,633,642,612
496,534,454,371,445,443,402,438,482,438,596,604,566,569,610,625,594,629,632,604
498,535,456,365,452,437,403,436,491,437,599,603,568,573,619,626,592,631,639,608
489,534,455,368,452,432,399,438,485,433,602,605,572,575,620,628,591,632,638,608
499,539,455,372,455,441,408,443,494,437,608,613,576,578,622,629,593,633,639,611
509,540,456,376,454,439,404,441,494,433,608,608,572,580,624,631,594,636,642,610
