607.99,608,608,608,0,0
608,608,608,608,0,0
607.12,607.9,607.99,608,0,0
607.12,607.01,607,607,0,0
606.12,606.01,605.12,605.01,0,0
603.24,603.03,603,603,0,0
602.12,602.01,602,602,0,0
601.12,601.9,601.99,602,0,0
602,602,602,602,0,0
602,602,602,602,0,0
601.12,601.9,601.1,601.01,0,0
600.12,600.01,600,600,0,0
599.12,599.9,599.99,599.12,0,0
599.01,599,599.88,599.1,0,0
599.01,599.88,599.99,600,0,0
600,600,600,600,0,0
600,600,600,600,0,0
600,600.88,600.1,600.01,0,0
600,600.88,600.99,601,0,0
600.12,600.9,600.99,601,0,0
601,601,601,601,0,0
601,601,601,600.12,0,0
599.13,599.02,598.12,597.13,0,0
596.13,596.02,595.12,594.13,0,0
593.13,592.13,591.13,591.02,0,0
590.12,589.13,589.02,588.12,0,0
586.25,586.03,585.12,584.13,0,0
583.13,583.02,582.12,581.13,0,0
580.13,580.02,580,579.12,0,0
577.25,577.03,577,577,0,0
576.12,576.01,576,575.12,0,0
574.13,574.02,574,574,0,0
573.12,573.9,573.99,574,0,0
574,574,574,574,0,0
573.12,573.01,572.12,572.01,0,0
571.12,571.01,571,570.12,0,0
570.01,569.12,569.01,569,0,145
569,569,569,569,93,396
568.12,568.01,567.12,567.01,378,596
566.12,566.01,565.12,565.01,532,674
564.12,564.01,564,563.12,600,715
563.01,563,563,563,622,736
563,563,563,563,647,756
562.12,562.01,562,562,685,783
562,562,562,562,716,801
561.12,561.01,561,561,726,808
561,561,561,561,730,814
561,560.12,560.01,560,733,822
560,560,560,560,744,825
560,560,560,560,749,830
560.88,560.99,561,561,752,835
561,561,561,561.88,748,838
561.99,562,562,562,743,838
562,562,562,562,732,837
562.88,562.99,563,563,732,838
563,563,563,563,737,840
563,563,563,563,741,841
563,563,563,563,742,841
563,563,563,563,746,842
563,563,563,563,748,842
563,563,563,563,748,842
563,563,563,563,750,842
563.88,563.99,564,564,754,843
564,564,564,564,756,844
564,564,564,564,755,845
564,564,564,564,755,845
564,564,564,564,757,844
564,564,564,564,757,844
564,564,564,564,755,842
564,564,564,564,753,840
564,564,564,564,747,837
564,564,564,564,747,836
564,564,564,564,748,836
564,564,564,564,744,836
564,564,564,564,743,837
564,564,564,564,742,837
564,564,564,564,743,838
564,564,564,564,740,838
564,564,564,564,743,838
564,564,564,564,745,839
564,564,564,564,746,839
564,564,564,564,747,839
564,564,564,564,749,840
564,564,564,564,752,841
564,564,564,564,753,841
564,563.12,563.01,563.88,753,842
563.99,563.12,563.9,563.99,747,839
564,564,564,564,705,815
564.88,565.87,566.87,566.98,558,726
569.65,570.84,571.86,571.98,287,575
573.76,574.86,575.87,577.75,0,0
579.74,583.5,586.59,590.48,0,0
595.35,600.34,604.45,607.58,0,0
612.37,615.57,617.72,618.85,0,0
620.75,621.85,621.98,622.88,0,0
623.87,623.98,624.88,624.99,0,0
625,625.88,625.1,625.9,0,0
625.99,626,626,626.88,0,0
626.99,627,627,627,0,0
627,627.88,627.99,628,0,0
628,628.88,628.99,629,0,0
629,629.88,629.99,630,0,0
630.88,630.99,631,631.88,0,0
631.99,632,632.88,632.99,0,0
633,633.88,633.99,634,0,0
634,634.88,634.99,635,0,0
635,635.88,635.99,636,0,0
636,636.88,636.99,637,0,0
637,637.88,637.99,638,0,0
638,638,638,638,0,0
638.88,638.99,639,639,0,0
639,639,639,639.88,0,0
639.1,639.9,639.99,640,0,0
640,640,640,640,0,0
640,640,640,640,0,0
640,640,640,640,0,0
